time[ms],voltage[mV]
1.008095474107255427e+02,1.328210473060607910e+00
1.010153655869950740e+02,1.112485527992248535e+00
1.012211913926591365e+02,8.967606425285339355e-01
1.014270171983231990e+02,6.810357570648193359e-01
1.016328430039872615e+02,4.653108417987823486e-01
1.018386611802567927e+02,2.495859414339065552e-01
1.020444869859208552e+02,3.386104479432106018e-02
1.022503127915849177e+02,-1.818638592958450317e-01
1.024562530381669490e+02,-3.974879384040832520e-01
1.026622314317216365e+02,-6.130864620208740234e-01
1.028682098252763240e+02,-8.286849856376647949e-01
1.030741805894364802e+02,-1.044283509254455566e+00
1.032801589829911677e+02,-1.259881973266601562e+00
1.034861297471513240e+02,-1.475480556488037109e+00
1.036921081407060115e+02,-1.691079020500183105e+00
1.038981170518388240e+02,-1.906649708747863770e+00
1.041041641099442927e+02,-2.122187137603759766e+00
1.043102111680497615e+02,-2.337724447250366211e+00
1.045162658555497615e+02,-2.553261756896972656e+00
